text_data,predict_weight,predict_label,true_label
Hảo Huynh vcl :),[0.02695864 0.06289356 0.04161557],1,0
Đm cả họ cả nhà ngang ngược vl,[0.81872326 0.2418673  0.06878201],0,2
Bảo Trâm mé t thù câu này kinh . Ám ảnh vl,[0.00244615 0.00433393 0.04543067],2,0
Nguyễn Hoàng Trọng đỉ đù đụ éo kéo rank lol,[2.5942876e-05 2.5091205e-02 1.3989899e-02],1,2
"Park Ji Huyn Cay vl , địt",[0.7512772  0.07649761 0.0241044 ],0,1
Tại sao tao lại đél có . Bất công vl,[4.4284621e-03 4.7268704e-04 7.1905990e-05],0,1
Hiền Mũm gắt vl,[0.6275949  0.00480278 0.00140568],0,2
Người Ta lớp 10 4 vợ 5 con . Mình thì đéo mảnh tình nào :) <URL>,[0.72432154 0.01567592 0.06138514],0,1
"Thu Hà <URL> Khúc Thái . Bọn trộm cắp gỗ cực kỳ tinh vi , nhiều tầng nhiều lớp và vô cùng liều lĩnh .",[0.99812716 0.00695965 0.01756831],0,2
Không biết gì nhưng vẫn thích phán như thần . Lạ loz gke gom di dok :),[0.985129   0.70817465 0.04946462],0,1
cạnh nhà mình có ông vợ đéo cho hút thuốc xong học ảo thuật để đc hút . . . đấy là ông hàng xóm nhà mk còn ông lày thì mình đéo biết,[9.4326895e-01 8.6267755e-05 3.2676016e-03],0,2
cảm giác thối vl - _ -,[0.99389184 0.8984498  0.49421525],0,1
"Thành Nguyễn đéo đau , hoá đá rồi :)",[6.9933965e-05 3.8023332e-01 9.5334560e-01],2,0
Mã cha bọn y tế dự phòng,[0.9719106  0.21562095 0.46302822],0,2
"Thân gửi c Facebook meo meo hay méo méo j đấy ! ! ! Chắc c rảnh quá đặt hàng cho vui xong bom hàng bận rộn hả ? . Mệt mỏi với c quá , khổ cả con bán hàng mà khổ cả ngta đi ship cho c 5 , 6l ko đc . Chào thân ái quyết thắng , mong ko gặp lại c ! . Thân <URL>",[0.94963497 0.02818741 0.52019376],0,2
Nguyễn Thanh Nhàn mày có thấy đoạn nào tao nói tao tập k . Ngứa mồm nói à,[0.952319   0.05328498 0.04692313],0,2
"Thùy Trang đệch , ngứa đòn vl",[0.99163073 0.96737593 0.8324284 ],0,1
Dỗi vl 😑 😑,[0.7871241  0.06754468 0.00407063],0,1
Đcm cáu vl haha,[0.01209959 0.40877265 0.43574533],2,1
Thứ ngu dốt . Nhơ nhuốt cho mấy thằng già nảo chó,[0.99383706 0.24745472 0.6544281 ],0,2
Éo đc 10 . . . cay vl,[0.12947054 0.32693145 0.10795436],1,0
Alicia Ng quý loz nào bằng được kim cương,[0.41250697 0.01744072 0.01596864],0,2
Sau không mua Bcs nhĩ thằng nầy ngu vl,[0.96107316 0.64535385 0.55728185],0,1
"=) sự thật là t với nàng có 1 mối tình đẹp lắm . yêu nhau 2 tuần , cuối cùng chia tay cũng chỉ vì tao bận đi nhặt thính trong khi nang đang bị thằng khác bắn sml mà đéo ai cứu .",[7.675851e-05 1.365804e-01 1.419547e-01],2,1
Làm thịt chứ làm cái lol gì nữa . Hỏi ngu vkl,[0.9960103  0.7416081  0.93270886],0,1
Trí Phan vâng cái gì t ăn đc mà m chả ăn đc thằng lol,[0.87800753 0.13459162 0.24224849],0,1
Tao thấy mày xanh và tao éo thích mày nhé !,[0.9982223  0.49582    0.65996176],0,2
quân ngu hỏi thừa vl,[0.07009239 0.00322453 0.00085612],0,2
Thế mà tao bảo thế mấy page lia cứ cãi lại t . Oc vl,[0.99895084 0.04112402 0.0361345 ],0,1
Đốt Thằng Nhà Quê <URL> Trần . TÁN ĐÉO ĐỔ . . . BỐ ĐỐT MẸ NÓ NHÀ,[0.7115686  0.0077477  0.00111413],0,2
Mục đích sống là để làm hài lòng bản thân chứ đéo phải sống cho vừa lòng thiên hạ ! . # Đuối ! 😩 😩 <URL>,[0.04440811 0.00229833 0.00924168],0,1
vì mày xấu hỏi ngủ vl,[0.3640002  0.00867433 0.00393327],0,1
"Thảo Vy mẹ , nch ngu vl",[0.99000335 0.61610466 0.22913899],0,1
Ông Sơn Phạm Ngọc quê vl,[0.5063776  0.14428024 0.56622386],2,0
"Đàn ông đập đồ là đàn ông thấp hèn , là một thằng đàn ông ngu",[0.12360161 0.00303138 0.00840606],0,2
Thằng này phạm tội giết người tử hình nó di,[0.4554165  0.09788153 0.22683194],0,2
deo hieu kieu gi =) chim muong vl :( ca ngay chi an vs di cmt dao ma,[0.9991516  0.38026565 0.6414786 ],0,1
Bọn đàn ông ích kỉ vl,[0.86268127 0.35468176 0.02514276],0,2
Lượng Ronaldo t nói phét thôi tin người vl,[0.7587217  0.17067362 0.25414768],0,1
IvanDac Thinh @ @ dm giống vl thề,[0.80097085 0.583786   0.18159774],0,1
Nguyễn Nguyên k có ny cay cú à . 😂 😂 😂 tội vl,[9.999745e-01 7.437535e-04 3.870017e-06],0,1
3 cái link 360p thì ném cmn đi . Ko có link 720 hay 1080 thì đừng xl,[0.03851064 0.26569012 0.29353532],2,0
Nghiệt súc vl :),[0.9807371  0.22667436 0.01761059],0,1
Công Nguyễn yêu vào ngu vl,[0.18766053 0.05751028 0.04078382],0,1
Tb còn đell đc . ngu vl,[0.01623942 0.03683307 0.01502347],1,2
Đm =) Nguyễn Quỳnh Anh <URL> G - Dragon Vietnam Fanpage . Nó lại hợp lí nữa rồi =) . . Idea : Phúc Lê . Credit : G - Dragon Vietnam Fanpage . # XN,[0.00665019 0.00014337 0.00088117],0,1
Doan Viet Hung k làm muốn ăn . . Lấy đâu ra bác . . Già rồi yên ổn tủi già đi . . để trẻ con chửi ngu,[0.99765813 0.00491164 0.04201539],0,1
"Trên đời này ko có gì tự nhiên , chỉ có những ng cố tình thay đổi sự thật thôi . Người dân ko ai ngu đâu",[9.1273808e-01 1.7800539e-05 5.1360253e-06],0,2
Ghét tao hả ? Ừm kệ mẹ mày làm loz gì tao ( ( :,[0.94800556 0.05165479 0.00433802],0,2
Ad nói ngu vl,[0.00819318 0.04106743 0.03677836],1,2
Để xem nó có chết vì bệnh hiểm nghèo khg ?,[9.2437071e-01 2.3690476e-03 1.0367235e-04],0,2
Niềm vui là khi bạn ế và thằng bạn bạn cũng thế . . À mà đéo 😐 😐 😐 Nguyễn Đức Thiện is with Quỳnh Liên . <URL> Photos from Nguyễn Đức Thiện ' s post,[0.03340347 0.00504349 0.00766193],0,1
1 thằng bóng . 1 con jet . 1 thằng khắm . 1 con chó . 1 thằng tèo . 1 thằng ngáo,[0.10301019 0.12135176 0.06016148],1,2
Địt mẹ chúng mày thích chêu chửi ak . địt mẹ chúg mày ăn gì mà ngu z <URL>,[0.01658446 0.96585333 0.9368786 ],1,2
Cả cái xã hội n sẽ chửi súc vật Thảo Bi shared a post . <URL> Lã Hải Anh . Đéo có gì là mãi mãi . Đời này làm đéo có tình yêu vĩnh cửu . 1 lần là nhỡ tay nóng giận . 2 lần là thói quen . 3 lần trở lên nó thuộc về bản chất . Tôi sợ con người anh . Vẻ ngoài đạo mạo nho nhã ấy . Nhưng khi ở nhà anh là 1 con thú độc ác tàn nhẫn không chút tình người . Những lời anh buông ra . Những trận đòn của anh . Có chết tôi cũng ko bao h quên . Đàn ông kém cỏi ko đáng trách . Nhưng đã bất tài lại còn vũ phu bội bạc thì anh không bh xứng đáng là 1 thằng đàn ông,[0.1353059  0.0032567  0.03921707],0,2
Lê Huỳnh Lộc đjtconme t cười đau bụng vl,[0.94370615 0.08156922 0.01640127],0,1
Kim Loan m vui đi tao đạp m trú m chửi thề nè,[0.85729283 0.21325107 0.03827627],0,1
Hoàng Thưởng uh m tởm vl,[0.13387698 0.00950267 0.00913054],0,1
Đô Vật HD mày sủa j thế có ngon về chửi ba má mày kìa tưởng ad muốn chửi ai thì chửi ak con chó,[2.2571888e-03 1.1891767e-06 3.3651924e-04],0,2
Vếu căng vl 😪,[0.57038593 0.01687852 0.02191934],0,1
giải này cơ cấu lạ lòn vl,[3.3237547e-01 1.1859055e-03 2.0747636e-04],0,1
Học viện ăn hàng ở không :) clm ăn cơm nhà tính chuyện vũ trụ nè . Biết cc gì đâu mà nói để ngta chửi ngu,[0.6708617  0.00283765 0.0034859 ],0,2
Má Phính ghê vl,[0.7260791  0.0460491  0.00177952],0,1
Đm nó đúng là vl,[0.40131357 0.07150682 0.0022092 ],0,1
Mít Đọt hâm giống mày vl,[0.31623784 0.10111401 0.03062173],0,1
Cái đéo gì mà sến vl :),[0.2291661  0.16121261 0.05077532],0,1
Tao chửi mày vì mày ngu và quá là trời ngu đi đấy đọc hiểu ko 🤣 . Chính do mày chửi người ta chước mới bị chửi đấy thằng ngu,[0.47182757 0.49630225 0.3785988 ],1,2
"Kết thúc chuyến nghĩ dưỡng cùng cty đầy cảm xúc . cái kết . . chơi team bị đè sấp mặt , bị bóp muốn nát . . . Tờ rim . . . . Bị chấn thương lưng vào cuối cùng . . . sắp có đt mới . . . . P / s : hận đứa nào đẩy ông xuống hồ bơi Nguyễn Vy Hữu Phúc is with Nguyễn Thủy at Champa Resort & Spa - Phan Thiet . <URL> ? Photos from Nguyễn Vy Hữu Phúc ' s post",[0.9971666  0.22375803 0.07650507],0,1
"Con điên , con óc chó , con chó , con lợn , con bò . . . : >",[0.97754306 0.99982893 0.997152  ],1,2
Tớ nói thật với các bạn nha . . . Lần đầu làm chuyện ấy nì . Người chụp có tâm vãi ^^ <URL> ?,[0.9827906  0.01606281 0.01725836],0,1
"Phuong Quyet thế vẫn méo ai yêu , tội vl =)",[9.3532175e-01 2.1032507e-03 5.7380612e-04],0,1
Ủa m ông cố nội ngta hả mà k cho coi . Trường giang dẫn ct như cứt . Ăn nói vô duyên . Suốt ngày móc méo đá xoáy ng khác . Chã có kiến thức chuyên môn cmg . Bây h còn chả thèm diễn hài mà làm mc luôn mặc dù nc vô duyên vcl ra,[9.4955218e-01 4.3290875e-05 1.0220527e-05],0,2
"Hải Phòng là đéo thích lòng vòng nhe 😁 😁 😁 Tita Đình <URL> NGƯỜI SĂN TIN ĐEN . Hải Phòng thì đừng hỏi nhé : . . Anh ơi ! Có gì thì từ từ thôi anh ơi . . . ! 😔 😭 😭 😭 khổ thân quá 😭 😭 . . P / S : Vụ việc diễn ra lúc 15 giờ ngày 4 . 5 , tại ngõ Hoàng Quý ( Q . Lê Chân , TP . Hải Phòng .",[3.2015292e-03 1.9045496e-05 2.4393173e-06],0,1
"Yeu r thi quat luôn chu bỏ j , gt di",[0.9999943 0.9652955 0.956346 ],0,1
Minh Tuấn :) mấy con bóng nch dui vl,[2.8440979e-01 1.2268312e-03 2.6507786e-04],0,2
"Tao thấy nhãm nhí vãi cức . Quen nhau tot đẹp thì khoe mẽ tao đéo nói , ct xoá ảnh cũng lên fb 😌 . Rêu rao vl",[0.99998355 0.99849725 0.99399275],0,2
Vi lol này giỏi vl =),[0.00151615 0.32209757 0.01659838],1,0
Tao ghét cay ghét đắng mấy đứa trộm chó và làm thịt chó,[0.91768587 0.20752215 0.67950827],0,2
Tommy Châu va Hien ngang nhu mot con di nua chu . .,[9.9958783e-01 2.5468080e-05 6.1100578e-01],0,1
Ghét con Anh nói xấu b t vl,[0.4968496  0.0214291  0.00402104],0,2
Kelly Nguyen đm thuốc tăng cân hiệu quả vl,[0.9982551  0.97080785 0.19540277],0,1
Đã chấp nhận khoác lên người bộ váy cưới thì nên tôn trọng gia đình 2 bên và khách mời . Dù là lý do j thì cũng ko cần phải bê nguyên lên mặt cái thái độ đó cho bàn dân thiên hạ biết .,[0.9641805  0.00877093 0.9900885 ],2,0
Linh Trần tội con chó vl,[0.06481445 0.02239658 0.1171862 ],2,0
"Thằng này ngáo , chất thải gì ? Chứ không phải như hắn nói ! Ngu hơn con bò !",[8.9759851e-01 1.8205288e-03 5.5736030e-04],0,2
Bỏ mịa thằng order đồ ăn :) Vinh Vo <URL> Hiệp . ôi đm . . . . @ ảnh FB,[0.98799986 0.00689616 0.00136161],0,1
Các đồng dâm thật vl - ) ) ),[0.99582505 0.03607361 0.21913154],0,1
Ghê tởm vl nhếch nhẹ,[0.9894488  0.8825042  0.41361138],0,1
Khác lol j bảo Cp nhà mày ngu hơn cả mấy thằng dở . Ngụy biện óc chó :),[7.0115376e-01 2.3277404e-04 1.8216938e-02],0,2
Dị vl - . -,[0.7916011  0.22785749 0.09558182],0,1
Khải Khải cảm thấy nói lại tụi cãi cùn trong này tốn công vl,[9.6607900e-01 2.1198925e-08 4.6802879e-07],0,2
Sư nước ng ta như phật . Còn chùa bên mình sắp đổi tên thành công ty rồi,[0.9999999  0.22526051 0.5785128 ],0,2
Nói mấy chị ý thức kém thì mấy chị gông cổ lên cãi nói tại bị rồi tin t kêu người lên ko :) dume hài vl,[4.1426908e-02 1.6245576e-05 4.7824549e-05],0,1
Bọn Barca chán vl :v,[0.01208747 0.12989904 0.00768302],1,0
"Trang Hà uar , cãi nhau mắc đéo gì lôi Red Velvet vào ? :) Vậy giờ tao nói fan BLACKPINK mà phát biểu ngu thì mày chửi tao à :)",[8.2376746e-06 7.8230295e-03 3.1528191e-03],1,2
Lớp tao éo có ai Để t để ý cả ngoài cô giáo chủ nhiệm 👩 ‍ 🏫 👩 ‍ 🏫 👩 ‍ 🏫 👩 ‍ 🏫,[9.9980778e-01 1.5191394e-03 1.7436984e-04],0,1
Tuyết Nhi vl . . .,[0.9313798  0.07123548 0.00688607],0,1
Đá ngu chứ chả có cái chuyện l gì . Bực vl,[0.97170615 0.72401947 0.3313299 ],0,2
Con Cưng phận làm fan cứng mà đi copy dkm tao cho m bay fb nhé,[9.9970585e-01 7.7049492e-07 2.4503441e-05],0,2
Lỗ đ * t hút cỏ siêu nhân đỏ,[2.7805711e-06 3.3668664e-07 3.3924588e-09],0,1
"Nó del thích m , nên nó giả vờ kb đấy , . M mới ngu hơn chó 🐕 🐕 🐕",[7.3438954e-01 6.2081963e-03 2.7492689e-04],0,2
"Quoc Nguyen <URL> Su . Chồng em trước khi cưới anh ấy đã hứa sẽ cho em cuộc sống đẹp như trong phim . . Mà lúc đấy em quên hỏi , đó là thể loại phim gì . Đến khi lấy nhau về anh ấy mới cho em biết đó là "" "" Phim Võ Thuật "" "" 🤣 🤣 . Dinh Khanh",[0.47365808 0.10321892 0.81853867],2,0
Thất bại vl :),[9.2119217e-01 3.0228327e-04 3.1236475e-06],0,1
May con cho d like hinh tao ve tao dap cm 🥺 <URL>,[0.9822442  0.14072642 0.09588071],0,1
Mặt thằng nớ nhìn nham hiểm vl :v,[3.8143545e-01 4.4734108e-05 2.2542817e-04],0,1
"Thủy Đàm đây là thằng hưng đ nào ấy , ngu vc",[0.5380684  0.26175225 0.79484344],2,1
Con phò này cmt nhanh vl,[0.39725643 0.05753702 0.00833703],0,2
Mai ông đi mà bán ngu hơn chó,[0.28018144 0.09915487 0.11479768],0,2
Đó . Thấy chưa bnay đừng ai chê tui béo nha tui buồn lắm â <URL>,[0.957658   0.01028677 0.00218323],0,2
có cl . nó lấy ck tỉ phú thì m biết đất cạnh nhà nó như thế nào rồi chứ . ngu lol,[0.00876987 0.00174547 0.00279917],0,2
"Nó hok để tao yên , thi cử tới rồi mấy má ơi tha cho con , qua thi rồi chém giết nhau cũng được . Mệt lắm rồi đm kiêms tiền k lo tối ngày lo Kiếm chuyện với tao :) rồi làm được cái củ lon gì tao hjhj <URL>",[0.15049192 0.00044045 0.07117205],0,2
"Có nhiều bạn thật lạ lùng , cứ ngồi chê bai nghề người khác làm . . . rồi mặc định mình là dân cao cấp ! . Kiếm tiền chính đáng thì làm gì phải xấu hổ , nhà bạn giàu thì bạn hưởng nó đi , mà thậm chí nó cũng là của bố mẹ bạn làm nên , có phải bạn làm ra đâu ! ! ! Mà nói thật , chưa chắc đó là tài sản lương thiện nữa kìa ! ! ! Thế bạn tự hào về cái gì ? ! . Muốn chê bai theo kiểu mẹ thiên hạ thì ít nhất bạn cũng đẻ ra được thiên hạ nha ! . Nhiều bạn hay chê mà đéo bao giờ nhìn lại mình , haiz , nhìn cứ y như những bộ phận sinh dục biết nói ! . Em ghét nhất là thói xem thường người khác mà éo biết mình chẳng hơn ai ! ! ! ! <URL>",[0.99998534 0.12542781 0.02156722],0,1
Thịt Gà Luộc đéo nhé . . . anh đây men,[0.01010667 0.94050884 0.9608868 ],2,0
Mc chỉ biết dâu trong long mà chẳng thể nói ra ! ! . Cứ ngu ngu đần đần nz thôi <URL>,[0.00876592 0.14342184 0.06048293],1,0
Địt mẹ cái thứ đang chạy mà né vũng nc hoặc cái gì đó ko đáng là tui đứng tim mấy lần với mấy cha mấy mẹ xe máy . cứ sợ dơ xe mà làm khổ người khác . . . . chia buồn cùng bác tx vì gặp thằng cốt chó,[9.9967921e-01 1.7761365e-04 1.0213469e-02],0,1
Bú fame lố vcl,[0.96015686 0.5029902  0.37280205],0,2
Vẫn đ đc chán vl,[0.90299064 0.8505702  0.4785393 ],0,1
"Con mặt heo suốt ngày quan ngại , quan tui bây ngại , chứ dân tụi tao éo ngại đâu",[0.45982593 0.02178228 0.01391099],0,2
Tô Kim Thảo m chet me m à,[0.94965667 0.00609606 0.00238387],0,2
Page ơi là page . Vớ vẩm vl,[0.35174963 0.04449706 0.00628224],0,1
Dell có cr để mà ấn tượng :),[2.2678681e-01 1.5959532e-03 6.7371773e-05],0,1
Đoàn Hải Sâm đm xem clip nhí vl :),[0.986945   0.5422641  0.00392592],0,1
"Bán vui vui có mấy con ốc mà mấy anh khó khăn quá 🙂 . Admin chắc ghen ăn tức ở , có sai phạm gì thì cmt vô báo cáo để rút kinh nghiệm , đằng này âm thầm tắt cmt , xoá bài . Đm mày admin <URL> Photos from Huỳnh Tấn Đức ' s post",[9.8387074e-01 1.4228065e-01 4.4221594e-04],0,2
Tư bản phương Tây khắt khe với dân . nổi tiếng không tha . . . 🇻 🇳 🇻 🇳 . tau vì thương dân . . đéo phạt,[1.2361714e-02 2.1173514e-07 4.9798400e-06],0,1
Mịa . Cái to mất t méo tiếc . Mà cái nhỏ nhỏ chúng mày nhặt của t là t nguyền rủa chúng mày . . Đứa nào lấy khôn hồn đem về chỗ cũ cho t . Ko thì t bùa cả nhà m đấy <URL>,[0.9473719  0.0616738  0.80936784],0,2
đ m fan cứng cmt chói vl :),[0.92792284 0.23250648 0.1352619 ],0,2
du má . tài cao vl,[0.38373864 0.06176012 0.01532537],0,1
